Plant_ID,Height_cm,Leaf_Count,New_Growth_Count,Health_Notes,Watering_Amount_ml,Watering_Frequency_days,Sunlight_Exposure,Room_Temperature_C,Humidity_%,Fertilizer_Type,Fertilizer_Amount_ml,Pest_Presence,Pest_Severity,Soil_Moisture_%,Soil_Type,Health_Score
Philodendron hederaceum,27.13,32,4,New bud,252,4,Filtered sunlight through curtain,26.4,49,Liquid feed,0,None,Moderate,52.8,Peaty,2
Aglaonema commutatum,9.34,12,9,Wilting,263,6,Low light corner,21.5,53.8,None,88,None,None,43.8,Silty,2
Schefflera arboricola,37.98,5,4,Yellowing leaves,295,5,Indirect light all day,22.6,32.2,Chemical,31,None,High,18.5,Silty,4
Sansevieria cylindrica,50.44,41,1,Brittle leaves,73,2,Low light corner,25.6,78.5,Compost,7,Whiteflies,Moderate,19.5,Sandy,5
Dieffenbachia seguine,26.83,26,7,New bud,370,1,Filtered sunlight through curtain,22,65.8,Chemical,68,Fungus gnats,Low,56.3,Silty,5
Epipremnum aureum,24.06,10,1,Wilting,323,6,Low light corner,24.1,46.2,Compost,29,Whiteflies,High,11.6,Peaty,2
Spathiphyllum wallisii,21.78,25,9,Strong stem,93,5,6h full sun,23.1,45.9,Compost,7,Spider mites,None,33.1,Sandy,1
Calathea orbifolia,32.82,36,5,Wilting,381,2,Filtered sunlight through curtain,24.4,52.4,Organic,18,Fungus gnats,Low,25.7,Peaty,1
Spathiphyllum wallisii,30.68,39,7,Leaf drop,362,6,Low light corner,16.9,61.3,Organic,58,Fungus gnats,Low,43.3,Clay,1
Calathea orbifolia,35.03,19,5,Wilting,412,4,3h direct morning sun,18.5,37.3,Organic,54,Spider mites,Low,52,Silty,5
Zamioculcas zamiifolia,18.72,9,3,Leaf drop,205,4,Low light corner,25.8,39.4,Chemical,29,Fungus gnats,Moderate,28,Clay,4
Calathea orbifolia,28.4,10,3,New bud,429,5,6h full sun,27.1,73,Liquid feed,78,Aphids,Low,31.3,Chalky,2
Aloe vera,19.58,29,5,Wilting,248,2,Indirect light all day,21.3,42.8,Compost,35,Spider mites,Moderate,59.1,Chalky,3
Aglaonema commutatum,14.42,44,3,New bud,456,4,Indirect light all day,23.3,49,None,54,Spider mites,Low,49.2,Loamy,4
Sansevieria cylindrica,24.59,33,7,New bud,211,5,Indirect light all day,24.9,73.6,Organic,43,Aphids,Moderate,54.9,Silty,3
Sansevieria cylindrica,15.77,11,8,Brittle leaves,444,4,3h direct morning sun,26.1,63.2,Chemical,26,Whiteflies,High,31.9,Sandy,4
Aloe vera,36.74,44,0,Yellowing leaves,283,4,6h full sun,17.9,47.1,Chemical,76,Whiteflies,Moderate,21.7,Clay,1
Nephrolepis exaltata,16.38,17,3,New bud,212,6,Filtered sunlight through curtain,21.3,64.2,Chemical,77,Whiteflies,Moderate,30.6,Peaty,5
Peperomia obtusifolia,28.64,42,3,New bud,165,6,Indirect light all day,23,31,None,53,Fungus gnats,High,45.8,Silty,3
Zamioculcas zamiifolia,18.97,22,1,Brittle leaves,142,4,6h full sun,26.1,66.8,None,47,Aphids,Low,15.5,Loamy,4
Dieffenbachia seguine,27.77,6,5,Brittle leaves,91,3,Low light corner,31.5,54.4,Organic,29,Spider mites,High,23.5,Peaty,5
Nephrolepis exaltata,19.76,12,2,Wilting,333,6,3h direct morning sun,23.3,70.7,None,38,Spider mites,Low,12.3,Clay,3
Tradescantia zebrina,12.43,15,6,Brittle leaves,428,2,6h full sun,19.8,77.7,Organic,12,Spider mites,Moderate,31.6,Silty,2
Dracaena trifasciata,29.84,37,4,Wilting,259,5,6h full sun,25.2,76.3,None,15,Fungus gnats,Low,51.4,Clay,4
Spathiphyllum wallisii,22.65,42,3,Strong stem,255,5,Filtered sunlight through curtain,28,75.5,None,43,Fungus gnats,Moderate,11.2,Silty,2
Epipremnum aureum,27.86,31,4,Brittle leaves,269,2,6h full sun,24.3,55.6,None,70,Whiteflies,Low,43.8,Silty,1
Calathea orbifolia,20.71,24,7,Yellowing leaves,329,2,Filtered sunlight through curtain,21.3,48,Organic,26,Fungus gnats,Moderate,56.6,Clay,2
Philodendron hederaceum,11.72,16,2,New bud,185,2,3h direct morning sun,26.9,53.3,Compost,44,Whiteflies,Moderate,21.8,Clay,2
Begonia maculata,35.83,47,6,Yellowing leaves,155,2,3h direct morning sun,26,64.5,Organic,34,Whiteflies,None,44.7,Peaty,4
Dieffenbachia seguine,32.37,35,5,Leaf drop,167,1,Low light corner,20.9,74.2,Compost,78,Spider mites,Low,58.8,Loamy,1
Aloe vera,19.33,31,0,None,286,5,Filtered sunlight through curtain,25.1,40.3,Chemical,27,Fungus gnats,Low,58.1,Clay,2
Aglaonema commutatum,25.7,36,6,Brittle leaves,358,1,Filtered sunlight through curtain,27,75.9,Chemical,98,Whiteflies,None,21.7,Chalky,5
Aglaonema commutatum,35.42,14,6,New bud,437,4,Indirect light all day,27.5,70.8,Organic,6,Aphids,Moderate,15,Loamy,3
Anthurium andraeanum,20.43,7,0,Yellowing leaves,149,4,Indirect light all day,23.8,78.9,Compost,61,Aphids,Moderate,17.4,Chalky,2
Anthurium andraeanum,21.98,49,8,Brittle leaves,310,5,Low light corner,22.9,74,Compost,50,Fungus gnats,None,45.1,Peaty,1
Codiaeum variegatum,27.44,31,5,Brittle leaves,354,4,3h direct morning sun,27.7,44,Compost,45,Spider mites,None,46.3,Clay,2
Codiaeum variegatum,20.41,39,1,None,403,2,Indirect light all day,20.4,35.3,Chemical,19,Spider mites,High,43.7,Loamy,3
Begonia maculata,33.57,35,4,Strong stem,335,1,6h full sun,25.3,35.6,Organic,95,Whiteflies,Moderate,26.8,Clay,1
Dracaena trifasciata,23.31,19,3,Strong stem,377,2,3h direct morning sun,19.9,44.6,Liquid feed,37,Fungus gnats,High,18.5,Silty,4
Anthurium andraeanum,17.16,20,6,New bud,152,4,6h full sun,27.2,60.7,Compost,60,Aphids,Low,39,Clay,1
Sansevieria cylindrica,31.09,17,7,Leaf drop,112,6,Filtered sunlight through curtain,23.2,70.2,Compost,31,Whiteflies,High,34.2,Loamy,4
Codiaeum variegatum,13.58,39,0,Strong stem,224,1,3h direct morning sun,27.8,75,Liquid feed,25,Whiteflies,None,46.4,Clay,1
Aglaonema commutatum,45.15,15,4,None,331,2,Low light corner,25.5,61.2,Organic,57,None,None,32.1,Clay,3
Aloe vera,40.82,25,2,Strong stem,490,5,Filtered sunlight through curtain,20.3,30.3,Compost,38,Fungus gnats,None,26.9,Sandy,3
Spathiphyllum wallisii,30.13,15,0,Leaf drop,342,2,Filtered sunlight through curtain,28.3,39.3,Organic,19,Whiteflies,None,24.7,Sandy,1
Aloe vera,29.29,34,2,Yellowing leaves,275,6,6h full sun,28.7,35,Compost,81,Aphids,High,20.6,Loamy,2
Codiaeum variegatum,28.82,39,5,Strong stem,56,4,Filtered sunlight through curtain,26.6,48.2,None,49,None,High,23.3,Loamy,3
Chlorophytum comosum,20.11,26,6,None,176,1,Indirect light all day,21.7,55.1,Compost,78,Aphids,High,14.7,Silty,4
Calathea orbifolia,27.97,42,7,Wilting,473,5,3h direct morning sun,23.1,32.2,None,51,Spider mites,None,27.3,Silty,4
Epipremnum aureum,15.77,35,3,None,141,1,Indirect light all day,24.4,47.4,Organic,85,None,None,11.8,Clay,5
Philodendron hederaceum,30.04,18,2,Dark green color,472,5,6h full sun,21.9,39,Compost,21,None,Moderate,19.3,Chalky,4
Codiaeum variegatum,33.68,28,4,Dark green color,239,1,6h full sun,29.1,62.4,Chemical,52,Whiteflies,Moderate,47.3,Loamy,5
Epipremnum aureum,21.22,36,8,Strong stem,408,4,3h direct morning sun,24.4,53.2,Chemical,84,Spider mites,None,26.3,Clay,1
Peperomia obtusifolia,19.05,40,5,Yellowing leaves,102,5,Filtered sunlight through curtain,15.9,54.8,Liquid feed,65,Whiteflies,Moderate,43.4,Chalky,1
Ficus lyrata,12.88,36,8,Brittle leaves,291,3,Low light corner,25,51.4,Chemical,42,Fungus gnats,Low,45.8,Sandy,1
Zamioculcas zamiifolia,39.58,19,5,Yellowing leaves,181,1,6h full sun,23,77.8,None,81,Aphids,Low,39.1,Silty,2
Aglaonema commutatum,19.84,47,1,None,413,1,3h direct morning sun,23.8,40.7,Chemical,22,Aphids,None,57.9,Loamy,2
Schefflera arboricola,23.01,39,4,New bud,161,2,Low light corner,22.9,55.8,Chemical,76,Whiteflies,High,11.1,Clay,5
Nephrolepis exaltata,28,7,8,Wilting,458,5,Filtered sunlight through curtain,26.4,66.8,Chemical,63,Aphids,Low,46.9,Sandy,4
Chlorophytum comosum,27.82,20,7,Yellowing leaves,56,6,6h full sun,27.4,57.8,Compost,8,Aphids,Low,57.9,Peaty,4
Dracaena trifasciata,32.47,9,6,Leaf drop,279,3,3h direct morning sun,24.8,76.5,Liquid feed,6,Fungus gnats,High,53.1,Sandy,1
Aglaonema commutatum,21.21,25,0,None,205,4,3h direct morning sun,23,48.9,Organic,40,Spider mites,Moderate,18.4,Clay,3
Nephrolepis exaltata,13.61,14,3,Wilting,246,2,3h direct morning sun,23.9,53.2,Liquid feed,53,None,High,26.3,Silty,2
Aloe vera,11.86,23,6,Dark green color,372,3,6h full sun,24.1,34.4,None,64,Whiteflies,Moderate,18.6,Chalky,2
Schefflera arboricola,19.21,29,6,None,413,5,Low light corner,21.6,60.4,Compost,1,Whiteflies,Moderate,40.1,Peaty,1
Codiaeum variegatum,15.48,8,5,Wilting,272,3,3h direct morning sun,25.7,44.4,Compost,3,Fungus gnats,High,45.6,Peaty,2
Calathea orbifolia,21.96,33,7,Leaf drop,416,1,Filtered sunlight through curtain,25.4,38,Chemical,77,Fungus gnats,Moderate,25.9,Silty,1
Dracaena trifasciata,38.08,23,5,Strong stem,299,1,3h direct morning sun,28.6,57.2,Chemical,31,None,Low,37,Peaty,5
Monstera deliciosa,21.23,47,9,Leaf drop,453,2,Low light corner,27.8,56.6,None,99,Spider mites,None,44.5,Loamy,4
Dracaena trifasciata,21.22,6,2,Leaf drop,132,5,6h full sun,21.9,33.8,Compost,1,Whiteflies,Moderate,31.1,Clay,3
Monstera deliciosa,24.84,14,3,Strong stem,289,5,3h direct morning sun,26.5,64.9,Organic,63,Fungus gnats,Low,52.7,Peaty,4
Peperomia obtusifolia,20.94,47,2,Strong stem,429,3,3h direct morning sun,21.1,61.2,Liquid feed,13,Whiteflies,High,48.6,Sandy,4
Monstera deliciosa,24.33,29,0,Strong stem,444,2,Filtered sunlight through curtain,26.1,39.5,Compost,19,Aphids,Moderate,13.2,Chalky,5
Dracaena trifasciata,30.41,24,9,Strong stem,409,5,Filtered sunlight through curtain,22.5,53.5,Organic,88,Whiteflies,Low,41.1,Clay,2
Spathiphyllum wallisii,33.85,23,4,Strong stem,372,6,3h direct morning sun,20.9,66,Organic,48,Spider mites,Moderate,21.8,Silty,3
Zamioculcas zamiifolia,35.03,27,0,Leaf drop,312,6,3h direct morning sun,24.8,56.5,Liquid feed,7,Spider mites,High,37.9,Sandy,2
Philodendron hederaceum,45.57,28,0,New bud,456,1,Filtered sunlight through curtain,16,49.8,Organic,91,Whiteflies,None,57.8,Loamy,4
Codiaeum variegatum,30.69,15,1,New bud,238,3,Low light corner,18.7,46.1,None,62,Aphids,Moderate,54,Peaty,1
Codiaeum variegatum,47.34,38,3,None,415,4,Indirect light all day,23.5,60.5,Organic,45,Spider mites,None,30.2,Sandy,4
Aglaonema commutatum,17.24,32,5,Yellowing leaves,339,1,Indirect light all day,24.2,77,None,20,Fungus gnats,Moderate,24.6,Clay,2
Epipremnum aureum,45.91,9,7,New bud,411,2,3h direct morning sun,22.9,63.6,Organic,86,Whiteflies,Moderate,21.7,Sandy,4
Anthurium andraeanum,21.2,9,2,Dark green color,452,5,Filtered sunlight through curtain,19.3,33.7,Chemical,31,Aphids,High,36.6,Loamy,1
Aloe vera,22.18,25,0,New bud,107,1,6h full sun,21.5,53,Organic,7,Fungus gnats,Moderate,15.7,Chalky,5
Sansevieria cylindrica,23.8,16,2,Leaf drop,58,4,6h full sun,25.2,74.5,None,94,Whiteflies,Low,37.5,Peaty,2
Peperomia obtusifolia,22.81,8,2,Strong stem,353,4,Indirect light all day,25.7,34.7,Organic,15,Aphids,Low,10.1,Clay,4
Ficus lyrata,25.86,46,4,None,164,6,Low light corner,24,79.4,Organic,39,Fungus gnats,None,26.2,Peaty,2
Epipremnum aureum,19.2,24,3,Strong stem,259,2,Indirect light all day,27.5,77.5,Organic,26,Spider mites,None,21,Peaty,5
Sansevieria cylindrica,33.3,42,3,Brittle leaves,90,1,3h direct morning sun,25.2,33.9,None,17,Whiteflies,Low,58.6,Silty,4
Dracaena trifasciata,19.47,29,8,Brittle leaves,353,3,Low light corner,21.8,76.7,Organic,34,Whiteflies,None,46.4,Peaty,4
Tradescantia zebrina,31.56,18,6,Brittle leaves,222,1,6h full sun,23.2,48.2,Liquid feed,51,Spider mites,None,27.5,Sandy,2
Philodendron hederaceum,40.28,15,3,Leaf drop,283,6,Filtered sunlight through curtain,19.8,72.2,Liquid feed,14,None,Low,14.6,Sandy,2
Aglaonema commutatum,21.43,36,2,Dark green color,330,4,Filtered sunlight through curtain,23.7,50.9,None,62,Fungus gnats,Low,35.8,Chalky,1
Begonia maculata,32.94,15,5,New bud,421,2,3h direct morning sun,27.3,52,Chemical,52,Spider mites,Low,20.7,Loamy,5
Begonia maculata,30.59,22,2,Leaf drop,127,2,Indirect light all day,26.1,61.7,Liquid feed,90,Whiteflies,High,36.8,Clay,1
Monstera deliciosa,47.53,31,5,Yellowing leaves,157,3,3h direct morning sun,28.2,68.7,Compost,80,Fungus gnats,High,51.8,Sandy,4
Chlorophytum comosum,19.95,22,8,None,330,2,Filtered sunlight through curtain,23.1,31.7,Liquid feed,65,Fungus gnats,Low,40.8,Peaty,2
Chlorophytum comosum,32.95,27,5,Strong stem,452,6,6h full sun,28,59.7,Compost,30,None,Moderate,41.7,Loamy,4
Spathiphyllum wallisii,8.74,15,3,Brittle leaves,88,6,Filtered sunlight through curtain,23.4,39.3,None,60,Whiteflies,Low,37.1,Clay,4
Anthurium andraeanum,20.04,25,4,Wilting,168,6,Low light corner,28.4,47.3,Chemical,63,Aphids,High,56.4,Clay,3
Calathea orbifolia,28.53,48,5,Yellowing leaves,384,2,Filtered sunlight through curtain,23.9,47.4,Compost,97,None,None,56.6,Clay,3
Peperomia obtusifolia,38.93,9,2,Brittle leaves,385,2,Filtered sunlight through curtain,26.1,53.5,Compost,33,None,Moderate,35.6,Clay,4
Begonia maculata,12.74,27,7,Dark green color,76,6,Low light corner,28.4,46.7,Liquid feed,54,Aphids,Moderate,25.3,Chalky,2
Zamioculcas zamiifolia,32.86,45,3,Yellowing leaves,153,2,Indirect light all day,23.4,35.4,Compost,58,Aphids,None,33,Clay,4
Nephrolepis exaltata,24.37,29,7,Leaf drop,123,2,Filtered sunlight through curtain,24.7,37.3,None,2,None,Moderate,19.3,Loamy,3
Monstera deliciosa,9.78,45,9,New bud,240,4,3h direct morning sun,27.9,31.7,None,16,Fungus gnats,None,41.8,Sandy,2
Zamioculcas zamiifolia,26.82,14,9,Strong stem,373,1,Filtered sunlight through curtain,23.6,53.5,None,77,Spider mites,High,35,Loamy,4
Spathiphyllum wallisii,42.09,26,2,None,196,5,3h direct morning sun,20,77.7,Liquid feed,77,Spider mites,Moderate,15.2,Peaty,5
Schefflera arboricola,13.8,23,9,Dark green color,304,2,Low light corner,30.4,35.8,Chemical,45,None,Moderate,19.9,Silty,5
Monstera deliciosa,23.9,5,6,Dark green color,333,5,Filtered sunlight through curtain,22.6,77.3,Liquid feed,37,Fungus gnats,None,34,Chalky,4
Epipremnum aureum,15.13,11,8,Wilting,262,5,Low light corner,24.5,66.7,None,34,Aphids,None,54.4,Chalky,2
Chlorophytum comosum,20.31,8,3,Yellowing leaves,172,4,Low light corner,27.5,61.9,Liquid feed,0,None,High,38.3,Peaty,4
Chlorophytum comosum,39.32,5,7,Wilting,255,2,Indirect light all day,22.2,62.3,None,28,Whiteflies,None,44.1,Loamy,4
Ficus lyrata,22.28,19,2,New bud,466,6,Filtered sunlight through curtain,21,71.3,Organic,3,Fungus gnats,None,27,Loamy,3
Sansevieria cylindrica,39.02,44,6,Brittle leaves,289,5,3h direct morning sun,24.8,35.3,Organic,60,Whiteflies,High,38.6,Peaty,5
Aglaonema commutatum,36.09,16,2,New bud,443,2,3h direct morning sun,18.6,55.2,Compost,96,Whiteflies,Low,32.4,Silty,3
Dracaena trifasciata,21.37,26,6,Brittle leaves,388,3,Filtered sunlight through curtain,23.1,64.9,Chemical,16,None,Low,43,Clay,3
Anthurium andraeanum,19.97,26,9,Wilting,335,6,Indirect light all day,24.7,59.3,Organic,27,Fungus gnats,None,12.5,Clay,4
Peperomia obtusifolia,16.04,21,9,Strong stem,71,3,Indirect light all day,23.2,71.6,None,49,Whiteflies,High,34.7,Sandy,3
Dieffenbachia seguine,15.69,33,5,New bud,308,3,Indirect light all day,19.4,33.6,Liquid feed,89,Fungus gnats,Low,24.8,Loamy,5
Philodendron hederaceum,28.53,18,1,Wilting,406,5,3h direct morning sun,28.8,64.5,Liquid feed,7,Spider mites,High,26.3,Loamy,3
Epipremnum aureum,24.8,24,2,Yellowing leaves,154,3,Low light corner,24.3,56.7,Compost,33,Whiteflies,None,58,Peaty,5
Begonia maculata,18.76,37,5,Wilting,481,4,Indirect light all day,28.3,49,Liquid feed,58,Whiteflies,None,19.1,Peaty,3
Tradescantia zebrina,9.51,47,3,Wilting,307,4,3h direct morning sun,23.2,47,Organic,17,Fungus gnats,High,25.6,Clay,5
Philodendron hederaceum,26.06,19,5,Leaf drop,253,5,3h direct morning sun,21.4,61,Liquid feed,94,Spider mites,Moderate,35.5,Loamy,3
Philodendron hederaceum,20.3,16,0,New bud,359,2,Low light corner,24.8,74.5,Organic,58,Whiteflies,None,53.2,Loamy,3
Aglaonema commutatum,23.05,44,9,None,311,1,Filtered sunlight through curtain,23.4,54.8,Organic,26,None,None,30.8,Chalky,2
Calathea orbifolia,28.05,24,0,Strong stem,156,2,Filtered sunlight through curtain,20.5,71.2,Chemical,15,Fungus gnats,None,47.2,Sandy,5
Ficus lyrata,-0.02,34,2,Strong stem,300,2,Indirect light all day,28.4,50.1,Compost,9,Fungus gnats,None,52.8,Sandy,5
Chlorophytum comosum,9.67,42,7,Leaf drop,473,2,Indirect light all day,22.1,35.1,None,75,Whiteflies,High,25.5,Clay,5
Nephrolepis exaltata,47.96,7,7,Brittle leaves,270,2,Low light corner,18.5,33.1,Organic,21,Spider mites,High,29.6,Silty,1
Sansevieria cylindrica,19.93,32,3,Dark green color,428,6,Indirect light all day,28,32.6,Compost,15,Whiteflies,High,27.8,Loamy,3
Dieffenbachia seguine,-0.17,30,5,Brittle leaves,271,1,Low light corner,22.5,49,None,11,Aphids,High,51.6,Chalky,5
Aglaonema commutatum,10.5,34,7,Strong stem,307,6,3h direct morning sun,22.2,46.9,Liquid feed,74,Whiteflies,Moderate,12.2,Loamy,1
Ficus lyrata,49.84,17,6,Wilting,250,3,Indirect light all day,18.7,65.9,Compost,83,Aphids,High,25.4,Peaty,2
Nephrolepis exaltata,17.97,17,6,Leaf drop,416,2,3h direct morning sun,29.2,67.1,Compost,50,None,High,44,Clay,5
Dieffenbachia seguine,36.59,6,3,Yellowing leaves,307,4,6h full sun,20.1,32.5,Compost,0,Fungus gnats,None,38.3,Silty,5
Chlorophytum comosum,26.21,41,8,New bud,398,5,Low light corner,24.2,41.1,Liquid feed,26,Fungus gnats,Moderate,31.8,Sandy,1
Peperomia obtusifolia,20.15,42,9,New bud,274,5,6h full sun,26.7,43.7,Liquid feed,66,Spider mites,None,37,Loamy,3
Chlorophytum comosum,32.75,6,5,None,251,6,Indirect light all day,25.3,57.4,Compost,11,Whiteflies,Moderate,19.9,Silty,2
Aglaonema commutatum,1.16,40,2,New bud,275,6,3h direct morning sun,23.8,37.2,Chemical,29,None,Low,31.5,Clay,5
Chlorophytum comosum,10.59,30,4,Wilting,285,4,Indirect light all day,18.9,36.7,Organic,8,Aphids,Moderate,35.1,Sandy,3
Schefflera arboricola,20.08,15,4,Yellowing leaves,232,2,6h full sun,21.6,77.2,Liquid feed,52,Spider mites,Moderate,55.1,Loamy,2
Schefflera arboricola,11.57,12,4,Leaf drop,249,1,Indirect light all day,24.6,70.2,Chemical,60,None,None,23,Chalky,4
Aglaonema commutatum,19.19,48,7,Leaf drop,406,3,Filtered sunlight through curtain,21.6,39,Liquid feed,53,None,Moderate,53.4,Clay,4
Peperomia obtusifolia,33.54,44,8,New bud,295,5,6h full sun,24.6,50.3,Compost,36,Aphids,Moderate,42.2,Loamy,2
Peperomia obtusifolia,26.32,47,8,Yellowing leaves,493,3,Indirect light all day,26,47.8,Chemical,64,Aphids,None,11,Sandy,1
Spathiphyllum wallisii,38.31,26,5,Yellowing leaves,402,1,3h direct morning sun,26.9,69.6,None,41,Fungus gnats,Low,46.2,Sandy,2
Aglaonema commutatum,26.95,24,5,Yellowing leaves,160,6,Indirect light all day,20.3,55.5,Organic,48,Whiteflies,Low,11.8,Chalky,2
Nephrolepis exaltata,34.92,12,8,Strong stem,55,5,3h direct morning sun,30.6,36.4,Organic,3,Spider mites,Low,59.9,Clay,1
Aloe vera,24.36,33,3,Strong stem,285,3,Filtered sunlight through curtain,26.3,66.9,Liquid feed,63,Whiteflies,Moderate,53.6,Clay,1
Begonia maculata,19.1,44,5,New bud,176,6,Indirect light all day,24,49.8,Organic,78,Spider mites,None,24.9,Silty,3
Monstera deliciosa,39.81,30,3,Yellowing leaves,153,1,Filtered sunlight through curtain,27.3,43.1,None,50,None,Low,22.9,Loamy,3
Calathea orbifolia,17.91,34,0,Dark green color,286,3,6h full sun,31.1,48.8,Chemical,90,Aphids,Low,29.1,Silty,1
Chlorophytum comosum,28.44,21,6,Yellowing leaves,452,2,3h direct morning sun,19.7,54.9,Chemical,71,Aphids,Low,27.8,Sandy,4
Nephrolepis exaltata,32.69,24,9,Leaf drop,204,6,6h full sun,23.3,47.2,Compost,59,None,Low,28.6,Sandy,4
Ficus lyrata,33.41,20,5,Leaf drop,306,1,3h direct morning sun,16.9,42.1,Chemical,86,None,None,25.9,Chalky,2
Epipremnum aureum,13.35,47,8,New bud,284,3,Filtered sunlight through curtain,24.6,49.9,Liquid feed,78,Spider mites,Low,41.1,Chalky,5
Spathiphyllum wallisii,35.52,11,6,Dark green color,338,2,Low light corner,25.1,31,None,90,None,Moderate,18.2,Clay,2
Chlorophytum comosum,15.21,20,6,Yellowing leaves,89,2,Indirect light all day,23.9,68.6,Compost,30,Spider mites,Moderate,52.3,Silty,2
Chlorophytum comosum,33.11,49,1,Brittle leaves,337,1,Filtered sunlight through curtain,22,38.5,Liquid feed,71,Whiteflies,None,50.6,Sandy,5
Ficus lyrata,30.35,31,8,Dark green color,246,4,3h direct morning sun,17.9,32.2,Liquid feed,93,Aphids,High,33.8,Loamy,1
Schefflera arboricola,33.19,27,9,None,322,5,3h direct morning sun,25.1,62.7,Liquid feed,57,Aphids,Low,52.6,Peaty,4
Codiaeum variegatum,12.95,28,8,New bud,431,1,3h direct morning sun,28.4,68.7,Organic,81,Aphids,Low,22.4,Loamy,2
Begonia maculata,30.88,13,5,Leaf drop,313,2,3h direct morning sun,22.2,70.7,Liquid feed,3,Whiteflies,Moderate,10.9,Chalky,5
Aglaonema commutatum,35.86,39,2,Brittle leaves,106,2,Indirect light all day,25.3,54.7,Organic,21,Whiteflies,None,41,Loamy,3
Philodendron hederaceum,26.93,24,0,Leaf drop,347,1,6h full sun,19.3,40.3,Chemical,2,Fungus gnats,High,32.9,Sandy,2
Nephrolepis exaltata,16.81,41,3,Strong stem,147,4,Low light corner,25.4,66.9,Organic,78,Spider mites,Moderate,38.4,Silty,4
Aloe vera,34.2,46,2,New bud,186,5,Indirect light all day,22.8,65,Liquid feed,98,Spider mites,High,55,Clay,1
Dieffenbachia seguine,26.14,21,0,New bud,425,3,3h direct morning sun,21.7,42.3,None,46,Fungus gnats,None,58.5,Silty,2
Monstera deliciosa,8.26,35,2,Yellowing leaves,136,1,Indirect light all day,21.7,75.2,None,37,Aphids,None,41.7,Peaty,2
Aloe vera,16.04,12,3,Yellowing leaves,468,5,Filtered sunlight through curtain,22.8,35.2,Chemical,32,Spider mites,None,48.2,Clay,5
Zamioculcas zamiifolia,19.74,19,7,Strong stem,291,5,3h direct morning sun,25.1,79.1,Liquid feed,77,Spider mites,Moderate,14.2,Peaty,3
Peperomia obtusifolia,40.06,35,8,Brittle leaves,248,6,Low light corner,20.1,73,Organic,47,Aphids,None,18,Peaty,3
Dieffenbachia seguine,38.3,34,2,None,486,2,3h direct morning sun,22.8,64.4,None,64,None,Moderate,46.7,Sandy,1
Aloe vera,38.27,24,5,Wilting,359,3,Low light corner,23.9,76.9,Compost,25,None,Moderate,31.6,Sandy,4
